Time,Target
1385337589,939637179
1385423926,939807694
1385510218,1026486466
1385596311,964915159
1385682872,1029297302
1385769582,992322975
1385855897,1771144615
1385933243,41674623241
1386016051,50065626809
1386114864,7868860607
1386194944,1710219075
1386287367,1269024559
1386374243,1256311101
1386460664,1569397342
1386546433,1400876601
1386632657,1356416186
1386719350,1318551848
1386804881,2236694357
1386889969,1153998256
1386974295,1506113998
1387064683,1259705111
1387151993,1042600873
1387238260,648616807
1387324386,646743623
1387411093,869271251
1387497389,719844787
1387583771,772097207
1387664919,743167856
1387756553,11079056249
1387843175,6219045390
1387926172,3022773112
1388015480,4119939467
1388090370,1141835997
1388187519,933137945
1388273190,2712059358
1388336897,1248025382
1388445172,792644024
1388534189,6860435856
1388619127,975074665
1388706102,1631605511
1388793427,1504679817
1388878915,1151024836
1388965350,1358250592
1389052251,1773106077
1389138122,1957250806
1389224463,914082576
1389311760,959983738
1389397249,712670741
1389483650,602633871
1389567888,807711074
1389657254,709397970
1389742820,695256388
1389830294,671024492
1389916772,691905014
1390002839,600466412
1390089411,548499306
1390174068,560863073
1390261809,504002153
1390348079,541465170
1390434238,806270430
1390521341,718154892
1390607635,867374568
1390692537,821362205
1390776122,650863497
1390866804,927698376
1390952904,921516933
1391038683,660798252
1391126144,866704807
1391210951,973575133
1391299098,823970505
1391385386,716384959
1391471943,701253098
1391557267,718240264
1391644593,930869432
1391730937,1140729926
1391817380,1470755479
1391903767,1416396821
1391990358,1358882947
1392075939,1211374643
1392162977,825363840
1392249304,877669354
1392335660,805109400
1392422009,1036511159
1392508667,1086899290
1392593433,934986460
1392681092,754696915
1392767665,843128039
1392853746,777064398
1392940761,802171976
1393025384,739567454
1393112693,655057884
1393199487,710007794
1393286385,748281579
1393372466,780720280
1393458128,783084128
1393545510,1004987127
1393630747,1202454375
1393718014,1114331511
1393804781,1033098365
1393890883,1057633203
1393977496,970359391
1394063491,1005422535
1394150064,931944374
1394236622,1226447365
1394322854,1415010642
1394409572,1288532821
1394495301,1042606574
1394581998,1084928409
1394668463,911375653
1394755099,980036748
1394841169,980989131
1394927976,1050564260
1395013688,985459172
1395100489,908094188
1395186939,959348281
1395272441,914581770
1395359673,974381977
1395446171,1048640328
1395531995,1118833445
1395619042,989808060
1395705109,887253296
1395790668,903540097
1395877676,939626742
1395962973,892467434
1396050758,881401943
1396137530,872224763
1396223983,956381365
1396307782,932436831
1396396719,7224909013
1396482975,790561868
1396569541,872993140
1396654365,878448119
1396742291,860013424
1396828743,821341372
1396914731,901838575
1397000986,836560964
1397087854,957773444
1397174381,876554328
1397260083,845885205
1397343948,819387604
1397433519,831864917
1397519299,817205477
1397606272,831794361
1397692051,860802189
1397778378,863239345
1397865516,972455353
1397951127,820420208
1398037899,935137417
1398124518,845801239
1398210322,854184762
1398297341,827553261
1398382801,753664942
1398468239,700688074
1398556494,728472341
1398642301,768225398
1398729504,948666369
1398814483,761851617
1398902181,696525314
1398987666,770659889
1399074382,747044384
1399160696,787074452
1399247468,824658588
1399334280,790983493
1399418257,807881937
1399506912,842249464
1399593142,842883433
1399679957,859424929
1399766002,930524237
1399850371,832381127
1399938817,942442457
1400025388,800360446
1400111617,876915228
1400197752,718566150
1400284272,695640534
1400369889,674024303
1400456795,610066609
1400542144,696168828
1400629360,660956746
1400714599,600327304
1400803107,639090520
1400889348,612452506
1400975832,567792055
1401061564,559014620
1401148556,571875665
1401234492,661018265
1401321532,544425709
1401407672,540596245
1401490357,534437012
1401579870,556178060
1401667040,631261042
1401753566,591075897
1401838487,545844000
1401926166,622544352
1402011918,570340440
1402097639,540353158
1402185539,574902311
1402271885,595184259
1402357823,591886511
1402444486,588247777
1402530713,624106518
1402616846,588239608
1402703863,599184575
1402789574,624633698
1402876714,641861475
1402963162,561997987
1403049206,646366926
1403134962,612849930
1403222321,1068271544
1403307376,626639800
1403394162,662765804
1403474579,615017589
1403567744,782619171
1403653279,694096777
1403740780,744853605
1403823514,736716513
1403913319,804065589
1403998692,595372619
1404086275,732950931
1404172224,712530493
1404252566,810448119
1404343452,654201146
1404431084,665126666
1404517781,590663860
1404600737,615377550
1404690443,639347938
1404777001,652053293
1404863128,690292156
1404950386,679924978
1405034469,685823042
1405122957,646071962
1405208658,681126264
1405295450,657554723
1405381576,643712220
1405468476,676176246
1405554938,680643683
1405641183,611378399
1405727514,587286874
1405814064,544020199
1405900682,606531098
1405987177,564570846
1406073165,668998511
1406159862,589092328
1406246351,611414356
1406332242,689785626
1406418587,717380733
1406504961,664810536
1406589786,658184763
1406676732,673526643
1406764179,610853375
1406824670,719905283
1406936928,641746571
1407023923,732165801
1407108659,758550361
1407196482,625275423
1407282990,620789653
1407368998,588240866
1407455504,638487170
1407534076,763844850
1407626923,733806534
1407714923,691150928
1407800657,721036110
1407885409,709304555
1407973912,593974063
1408060568,696348924
1408146589,775905269
1408232171,765083323
1408318889,571165384
1408405957,753288343
1408491144,716730311
1408576750,770380916
1408665595,713534037
1408751844,819500104
1408837261,836084771
1408924591,769055136
1409010730,798991312
1409097186,765123181
1409182688,734311373
1409269564,703276528
1409356400,679102730
1409441831,723398509
1409529077,734300790
1409615547,799556217
1409702260,778715149
1409788364,769790592
1409873760,761828707
1409961287,804676979
1410047938,764520445
1410134366,708322994
1410220764,742602075
1410302876,693844408
1410393549,688198569
1410479966,759044494
1410564078,693475817
1410652568,684530982
1410736706,760899859
1410825294,706691983
1410911075,681423208
1410997982,728621915
1411084657,698758821
1411170691,660319186
1411257236,678673454
1411343724,605792177
1411430064,638597562
1411516717,638184111
1411601352,605112949
1411689335,584492722
1411775640,702223595
1411861734,686695037
1411947402,705491506
1412034523,639178754
1412121551,617309557
1412203049,634775757
1412293417,598178206
1412379799,608648349
1412466697,592492732
1412553473,620455741
1412638553,661764993
1412725551,713316994
1412812638,689603686
1412897964,572082725
1412985348,655912030
1413071678,611048595
1413158390,711650584
1413244284,700667706
1413329512,674697913
1413417286,649797492
1413502867,1167935163
1413588474,846075657
1413676234,711901125
1413758965,682133780
1413848156,658365246
1413935215,710804929
1414022307,698323550
1414108531,640082771
1414194045,637729092
1414280019,680516728
1414365999,712606633
1414454206,682956951
1414539917,755355912
1414624751,791926966
1414713569,635153576
1414798936,605397605
1414884523,752720249
1414972459,646102040
1415059059,667508561
1415145202,698457665
1415230357,666971909
1415318348,657508756
1415404679,663595195
1415490608,727689082
1415577186,716162324
1415663787,805199321
1415750001,698437381
1415835175,740983217
1415922834,631821793
1416009405,644610054
1416095310,696313458
1416180704,698617851
1416265952,704206447
1416354811,642994704
1416439932,662677689
1416525566,720949744
1416614318,634992611
1416699960,687943221
1416786577,662095244
1416873463,634348251
1416958575,556394023
1417046220,643889926
1417132435,644861629
1417218857,637560195
1417305319,698439709
1417390740,641171109
1417477758,639894829
1417563707,632839707
1417649557,681620827
1417737517,717661975
1417823425,671749621
1417910250,677189632
1417995287,665463418
1418083089,652193525
1418169138,624869629
1418254061,682552281
1418341759,619314919
1418428530,602067012
1418513751,623399173
1418601586,641720756
1418687455,714444914
1418773483,620252831
1418860025,647234971
1418947034,685172868
1419032477,650786456
1419119171,629939658
1419205748,672696057
1419292640,718576716
1419379199,812368513
1419465134,772314619
1419551799,789461321
1419637509,711810600
1419722883,607522597
1419810599,687759650
1419896567,778953150
1419982504,745117977
1420069374,663860479
1420156773,641756092
1420242248,632395906
1420329069,660379794
1420415494,658520005
1420502103,718875448
1420588762,653536032
1420674972,710808018
1420761201,706984064
1420846150,618298618
1420934138,717364663
1421020155,741025061
1421105909,599798053
1421193165,629657172
1421279861,576840477
1421365498,600495027
1421452681,583395550
1421538671,645416181
1421623815,639793509
1421711961,610895961
1421797792,624995049
1421883964,564308541
1421969914,586603119
1422056953,655748769
1422143518,636729220
1422228033,619487471
1422314316,646215929
1422403119,645356892
1422489402,655978388
1422574174,645634595
1422662300,626773246
1422748540,643010610
1422834461,646041788
1422921274,665323163
1423007891,643344923
1423093897,651990406
1423180478,617497751
1423265934,625623437
1423353599,611451384
1423439838,614710960
1423525155,629689259
1423611732,630971912
1423698287,652653061
1423782862,656099239
1423870178,653389432
