Time,Target
1483253733,1165
1483315327,1198
1483401621,1177
1483488246,1077
1483575243,1160
1483660979,1103
1483747204,1108
1483834286,1045
1483920070,1054
1484006666,1009
1484093814,1020
1484179345,1087
1484266181,949
1484352018,1004
1484439339,1003
1484525859,987
1484611327,999
1484697835,1138
1484784051,1128
1484870449,1043
1484957139,1030
1485043305,1035
1485129857,1062
1485216184,1080
1485302927,1058
1485388909,1044
1485475270,1043
1485562004,1071
1485648020,1050
1485734413,1080
1485820846,1009
1485907329,1102
1485993764,1069
1486080127,1071
1486166584,1042
1486252983,1039
1486339425,1059
1486426103,1077
1486512088,1037
1486598786,1059
1486684877,1069
1486771279,1136
1486857645,1227
1486944149,1123
1487030710,993
1487117401,988
1487203248,975
1487290773,964
1487376292,950
1487462502,939
1487548801,997
1487635537,1027
1487721702,962
1487809274,958
1487895173,930
1487981118,1012
1488067284,1140
1488153890,1114
1488240000,1134
1488326638,1178
1488412821,1079
1488499356,974
1488585933,847
1488672033,845
1488758778,859
1488844822,868
1488931416,863
1489017688,846
1489104019,851
1489190767,835
1489277175,941
1489363211,920
1489449650,894
1489536057,882
1489622870,933
1489708811,938
1489795305,914
1489881669,852
1489968643,899
1490054506,910
1490140841,849
1490227693,881
1490313765,895
1490400064,845
1490486552,1055
1490573413,1058
1490660873,1433
1490765031,1596
1490832286,1126
1490918527,1078
1491004802,951
1491091742,1072
1491177901,1085
1491264108,991
1491350600,1016
1491437727,945
1491523218,818
1491609892,830
1491696475,749
1491782692,769
1491868860,734
1491955531,772
1492042321,677
1492128208,628
1492215125,627
1492320550,560
1492387582,609
1492473616,670
1492560298,717
1492648254,377
1492732938,583
1492846075,1113
1492905833,692
1492992092,671
1493078894,354
1493164870,327
1493251256,328
1493337610,334
1493424061,324
1493510423,306
1493596936,279
1493683201,272
1493769716,252
1493856137,154
1493942404,130
1494028853,116
1494115345,116
1494201867,112
1494288107,106
1494374441,104
1494461009,99
1494547392,117
1494634194,109
1494720035,96
1494806407,103
1494893096,95
1494979298,98
1495065845,89
1495152000,83
1495238642,84
1495324909,82
1495411250,78
1495497668,79
1495584110,77
1495670486,77
1495757044,78
1495843217,76
1495929718,74
1496016245,75
1496102657,74
1496188855,72
1496275264,70
1496361644,70
1496448031,72
1496534443,74
1496620976,73
1496707312,71
1496793672,69
1496880494,72
1496966755,70
1497052918,69
1497139292,67
1497225756,72
1497312026,77
1497398403,69
1497485047,70
1497571286,67
1497657689,71
1497744418,67
1497830422,70
1497916935,64
1498003500,63
1498089639,65
1498176106,67
1498262431,59
1498348841,65
1498435229,65
1498521658,66
1498608926,64
1498694400,65
1498780828,66
1498867464,66
1498953816,67
1499040023,67
1499126501,63
1499212949,62
1499299266,65
1499385701,62
1499472065,65
1499558439,60
1499644845,66
1499731205,75
1499817680,67
1499904042,65
1499990503,66
1500076815,67
1500163247,71
1500249754,64
1500336348,65
1500422409,68
1500508819,63
1500595430,63
1500681821,63
1500768021,61
1500854471,64
1500940816,59
1501027344,57
1501113777,54
1501200241,53
1501286443,54
1501372872,55
1501459242,56
1501545795,54
1501632167,53
1501718453,53
1501804845,56
1501891320,54
1501977811,54
1502064159,57
1502150404,56
1502236904,52
1502323420,51
1502409719,55
1502496114,55
1502582581,51
1502668936,54
1502755624,60
1502841723,63
1502928041,65
1503014409,59
1503100814,55
1503187398,57
1503273736,55
1503360148,56
1503446409,56
1503532959,52
1503619218,54
1503705632,57
1503792033,56
1503878612,56
1503964984,54
1504051262,55
1504137652,59
1504224134,53
1504310429,57
1504396916,54
1504483269,64
1504569605,54
1504656061,53
1504742515,59
1504846572,60
1504915295,51
1505001794,53
1505088058,53
1505174422,54
1505261178,55
1505347261,55
1505433601,62
1505547423,77
1505606534,54
1505693029,57
1505779249,51
1505865660,53
1505952088,52
1506038451,54
1506124978,50
1506211254,53
1506297650,54
1506384122,53
1506470547,51
1506557232,54
1506643226,54
1506729944,55
1506816040,54
1506902459,58
1506988867,56
1507075231,53
1507161634,52
1507248152,60
1507338198,56
1507421149,57
1507507318,55
1507593983,55
1507680065,59
1507766580,53
1507852836,58
1507939620,55
1508026145,57
1508112338,55
1508198874,54
